id,outcome,category,sub_type,input,expected_intent,expected_tool,actual_intent,actual_tool,notes
ec_001,passed,edge_cases,ambiguous_query_timesheet,查工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_002,passed,edge_cases,ambiguous_query_timesheet,工时呢,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_003,passed,edge_cases,ambiguous_query_timesheet,瞅瞅工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_004,passed,edge_cases,ambiguous_query_timesheet,我的工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_005,passed,edge_cases,ambiguous_query_timesheet,工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_006,passed,edge_cases,ambiguous_query_timesheet,工时多少,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_007,passed,edge_cases,ambiguous_query_timesheet,填报情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_008,passed,edge_cases,ambiguous_query_timesheet,有工时吗,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_009,passed,edge_cases,ambiguous_query_timesheet,工时记录,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_010,passed,edge_cases,ambiguous_query_timesheet,工时数据,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_011,passed,edge_cases,ambiguous_query_timesheet,帮我查下工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_012,passed,edge_cases,ambiguous_query_timesheet,查一下工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_013,passed,edge_cases,ambiguous_query_timesheet,我的工时怎么样,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_014,passed,edge_cases,ambiguous_query_timesheet,工时填报了多少,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_015,passed,edge_cases,ambiguous_query_timesheet,最近工时怎么样,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_016,passed,edge_cases,ambiguous_query_timesheet,帮我看看工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_017,passed,edge_cases,ambiguous_query_timesheet,查下工时记录,tool_execution,query_timesheet,tool_execution,query_timesheet,
